code,location,registered,envelopes,valid,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
586854,Arnolec,133,96,96,13,0,0,9,0,2,9,0,1,1,0,0,5,0,0,37,0,9,2,0,2,0,6,0
586862,Batelov,1 925,1 244,1 238,88,0,0,83,3,23,127,11,18,8,0,0,137,0,37,397,8,129,1,21,6,2,135,4
586889,Bílý Kámen,211,156,156,18,0,0,16,0,4,12,1,0,5,0,0,22,0,10,34,0,7,0,5,0,0,22,0
586897,Bítovčice,347,209,209,17,0,0,14,0,16,14,2,4,6,0,0,10,1,2,49,1,33,0,1,2,0,37,0
586901,Bohuslavice,113,78,77,12,0,0,3,0,2,4,2,2,0,0,0,14,0,11,6,0,12,0,0,0,1,8,0
587184,Borovná,65,46,45,5,0,0,0,0,4,2,0,0,0,0,0,6,0,0,15,0,6,0,0,0,0,7,0
586927,Boršov,124,90,90,4,0,0,4,0,3,7,0,0,1,0,0,5,0,8,21,0,14,0,0,1,0,21,1
586943,Brtnice,3 028,1 944,1 937,186,1,1,188,3,70,235,17,9,22,1,1,174,2,53,549,7,206,1,9,3,4,192,3
590371,Brtnička,92,65,64,1,1,0,8,0,4,6,0,0,0,0,0,7,0,1,25,1,6,0,0,2,0,2,0
586951,Brzkov,218,157,156,23,0,0,5,0,1,11,3,0,1,0,0,9,0,4,50,0,36,0,0,0,0,12,1
586978,Cejle,394,250,250,24,0,0,13,0,8,16,9,2,3,0,0,28,0,8,87,1,9,0,1,0,1,38,2
586986,Cerekvička-Rosice,135,96,96,16,0,0,5,0,6,11,1,0,1,0,0,5,0,5,23,0,3,0,0,1,0,19,0
587001,Černíč,102,60,60,1,0,0,4,0,6,4,0,0,0,0,1,4,0,1,13,1,17,0,0,2,0,6,0
587117,Čížov,224,153,153,31,3,0,14,0,4,9,3,1,1,0,0,15,0,10,44,0,3,0,2,0,1,12,0
587010,Dlouhá Brtnice,290,183,180,15,1,0,6,0,17,22,3,1,6,0,0,12,0,2,57,1,16,0,1,1,0,19,0
587028,Dobronín,1 504,841,835,58,1,0,38,0,24,74,19,13,16,1,0,90,1,17,288,4,56,2,4,6,3,118,2
587036,Dobroutov,211,135,134,19,0,0,5,0,5,7,1,2,0,0,0,21,1,4,32,0,23,0,0,0,0,12,2
587044,Dolní Cerekev,1 025,652,650,48,1,0,40,0,34,60,10,6,11,0,0,76,0,22,226,2,34,0,7,4,4,62,3
587061,Dolní Vilímeč,77,56,56,2,0,0,1,0,3,3,0,0,0,0,0,4,0,2,22,0,11,0,0,0,2,4,2
587079,Doupě,81,57,57,1,0,0,5,0,4,3,1,1,0,0,0,6,0,3,11,0,6,0,0,1,0,15,0
587087,Dudín,148,110,110,5,0,0,18,0,4,8,0,0,0,0,0,8,1,4,36,2,7,1,2,0,0,11,3
587095,Dušejov,367,238,237,15,0,0,14,0,11,15,1,6,4,0,0,39,0,6,67,0,26,0,1,4,0,23,5
506729,Dvorce,166,117,117,12,0,0,6,0,2,17,0,1,1,0,0,12,0,4,32,0,4,0,0,0,0,25,1
587109,Dyjice,115,81,81,12,0,0,3,0,9,13,1,0,0,0,0,8,0,2,16,0,10,0,1,1,0,4,1
587125,Hladov,152,98,98,11,0,0,6,0,4,10,1,0,3,0,0,14,0,3,30,0,9,0,0,0,0,7,0
587141,Hodice,617,397,393,43,0,0,18,0,18,28,1,3,4,0,0,49,0,11,116,0,52,0,5,3,0,32,10
587150,Hojkov,126,105,105,13,0,0,12,0,3,8,2,1,1,0,0,15,0,3,37,0,3,0,3,0,0,4,0
587168,Horní Dubenky,493,298,294,18,0,0,36,1,10,51,4,6,6,0,1,36,0,7,78,2,9,0,3,3,3,20,0
587206,Horní Myslová,65,45,45,2,0,0,3,0,4,2,0,0,0,0,0,12,0,5,9,0,3,0,0,0,0,3,2
587192,Hostětice,110,68,68,10,0,0,5,0,3,9,2,0,0,0,0,4,0,2,19,0,4,0,0,0,1,8,1
590681,Hrutov,70,49,49,5,0,0,12,0,6,4,0,0,0,0,0,4,0,3,6,0,6,0,0,0,0,3,0
587222,Hubenov,122,92,89,13,0,0,6,0,3,12,0,0,2,0,0,7,0,9,24,1,4,0,3,0,1,4,0
550281,Hybrálec,365,257,253,29,1,0,12,0,14,10,8,6,2,0,0,29,0,16,83,0,12,0,0,2,0,27,2
587249,Jamné,424,284,283,19,1,0,19,0,7,47,4,4,2,0,0,38,0,15,61,1,36,0,2,2,0,24,1
587265,Jersín,151,106,106,8,0,0,11,0,6,7,0,0,1,0,0,7,0,2,29,0,7,0,2,0,0,25,1
587273,Jezdovice,202,125,124,5,0,0,18,0,6,12,0,0,2,0,0,11,0,4,33,0,18,0,1,0,1,13,0
587281,Ježená,105,68,68,6,0,0,0,0,1,10,2,0,1,0,0,5,0,3,29,0,0,0,1,0,0,10,0
586846,Jihlava,40 184,24 352,24 132,2 870,26,19,1 968,17,730,1 851,465,142,506,18,24,2 623,21,1 293,6 819,47,1 355,8,195,51,57,2 943,84
